Date,Close
2002-08-12,39.700001
2002-08-13,39.162498
2002-08-14,36.462502
2002-08-15,36.462502
2002-08-16,36.375
2002-08-19,35.474998
2002-08-20,36.462502
2002-08-21,38.25
2002-08-22,39.900002
2002-08-23,42.299999
2002-08-26,42.150002
2002-08-27,41.099998
2002-08-28,41.137501
2002-08-29,41.137501
2002-08-30,44.049999
2002-09-02,44.5
2002-09-03,42.412498
2002-09-04,43.337502
2002-09-05,43.075001
2002-09-06,41.474998
2002-09-09,40.9375
2002-09-10,40.9375
2002-09-11,41.974998
2002-09-12,42.1875
2002-09-13,40.987499
2002-09-16,40.1875
2002-09-17,41.362499
2002-09-18,40.087502
2002-09-19,39.75
2002-09-20,39.099998
2002-09-23,38.4375
2002-09-24,37.137501
2002-09-25,37.424999
2002-09-26,38.012501
2002-09-27,38.474998
2002-09-30,37.075001
2002-10-01,36.762501
2002-10-02,36.762501
2002-10-03,37.75
2002-10-04,37.512501
2002-10-07,37.349998
2002-10-08,38.362499
2002-10-09,37.387501
2002-10-10,37.424999
2002-10-11,38.212502
2002-10-14,37.9375
2002-10-15,37.9375
2002-10-16,38.012501
2002-10-17,38.012501
2002-10-18,38.8125
2002-10-21,39.412498
2002-10-22,37.987499
2002-10-23,37.8125
2002-10-24,37.150002
2002-10-25,36.387501
2002-10-28,35.849998
2002-10-29,36.162498
2002-10-30,36.775002
2002-10-31,37.349998
2002-11-01,36.962502
2002-11-04,37.237499
2002-11-05,36.837502
2002-11-06,36.837502
2002-11-07,37.974998
2002-11-08,37.3125
2002-11-11,36.75
2002-11-12,36.9375
2002-11-13,36.625
2002-11-14,37.125
2002-11-15,37.924999
2002-11-18,38.3125
2002-11-19,38.3125
2002-11-20,39.575001
2002-11-21,43
2002-11-22,42.337502
2002-11-25,42.262501
2002-11-26,42.012501
2002-11-27,41.125
2002-11-28,42.799999
2002-11-29,42.799999
2002-12-02,47.387501
2002-12-03,50.099998
2002-12-04,48.424999
2002-12-05,49.650002
2002-12-06,50.950001
2002-12-09,48.5
2002-12-10,49.612499
2002-12-11,51.950001
2002-12-12,52.375
2002-12-13,52.587502
2002-12-16,50.325001
2002-12-17,49.400002
2002-12-18,48.9375
2002-12-19,53.075001
2002-12-20,53.512501
2002-12-23,51.612499
2002-12-24,53.737499
2002-12-25,53.737499
2002-12-26,55.262501
2002-12-27,54.012501
2002-12-30,57.150002
2002-12-31,60.112499
2003-01-01,61.087502
2003-01-02,58.299999
2003-01-03,59.012501
2003-01-06,57.262501
2003-01-07,56.599998
2003-01-08,58.625
2003-01-09,59.200001
2003-01-10,55.575001
2003-01-13,56.137501
2003-01-14,56.887501
2003-01-15,58.025002
2003-01-16,58.849998
2003-01-17,57.525002
2003-01-20,55.6875
2003-01-21,54.237499
2003-01-22,54.474998
2003-01-23,52.474998
2003-01-24,50.599998
2003-01-27,47.075001
2003-01-28,50.362499
2003-01-29,48.9375
2003-01-30,49.6875
2003-01-31,48.487499
2003-02-03,52.1875
2003-02-04,50.549999
2003-02-05,49.612499
2003-02-06,50.612499
2003-02-07,50.125
2003-02-10,48.462502
2003-02-11,48.025002
2003-02-12,47.387501
2003-02-13,47.387501
2003-02-14,44.987499
2003-02-17,47.849998
2003-02-18,47.5625
2003-02-19,47.587502
2003-02-20,47.4375
2003-02-21,46.612499
2003-02-24,46.900002
2003-02-25,45.799999
2003-02-26,45
2003-02-27,45.6875
2003-02-28,48.049999
2003-03-03,47.525002
2003-03-04,46.337502
2003-03-05,46.525002
2003-03-06,45.262501
2003-03-07,44
2003-03-10,41.025002
2003-03-11,42.012501
2003-03-12,41.387501
2003-03-13,41.924999
2003-03-14,41.924999
2003-03-17,41.799999
2003-03-18,41.799999
2003-03-19,41.712502
2003-03-20,42.724998
2003-03-21,42.724998
2003-03-24,41.587502
2003-03-25,40.987499
2003-03-26,40.799999
2003-03-27,40.412498
2003-03-28,40.174999
2003-03-31,38.387501
2003-04-01,null
2003-04-02,38.387501
2003-04-03,38.387501
2003-04-04,38.387501
2003-04-07,38.387501
2003-04-08,38.387501
2003-04-09,38.387501
2003-04-10,38.387501
2003-04-11,38.387501
2003-04-14,38.387501
2003-04-15,38.387501
2003-04-16,38.387501
2003-04-17,38.387501
2003-04-18,38.387501
2003-04-21,38.387501
2003-04-22,38.387501
2003-04-23,38.387501
2003-04-24,38.387501
2003-04-25,38.387501
2003-04-28,38.387501
2003-04-29,38.387501
2003-04-30,38.387501
2003-05-01,38.387501
2003-05-02,38.387501
2003-05-05,38.387501
2003-05-06,38.387501
2003-05-07,38.387501
2003-05-08,38.387501
2003-05-09,38.387501
2003-05-12,38.387501
2003-05-13,38.387501
2003-05-14,38.387501
2003-05-15,38.387501
2003-05-16,38.387501
2003-05-19,38.387501
2003-05-20,38.387501
2003-05-21,38.387501
2003-05-22,38.387501
2003-05-23,38.387501
2003-05-26,38.387501
2003-05-27,38.387501
2003-05-28,38.387501
2003-05-29,38.387501
2003-05-30,38.387501
2003-06-02,38.387501
2003-06-03,38.387501
2003-06-04,38.387501
2003-06-05,38.387501
2003-06-06,38.387501
2003-06-09,38.387501
2003-06-10,38.387501
2003-06-11,38.387501
2003-06-12,38.387501
2003-06-13,38.387501
2003-06-16,38.387501
2003-06-17,38.387501
2003-06-18,38.387501
2003-06-19,38.387501
2003-06-20,38.387501
2003-06-23,38.387501
2003-06-24,38.387501
2003-06-25,38.387501
2003-06-26,38.387501
2003-06-27,38.387501
2003-06-30,38.387501
2003-07-01,38.387501
2003-07-02,38.387501
2003-07-03,38.387501
2003-07-04,38.387501
2003-07-07,38.387501
2003-07-08,38.387501
2003-07-09,38.387501
2003-07-10,38.387501
2003-07-11,38.387501
2003-07-14,38.387501
2003-07-15,38.387501
2003-07-16,38.387501
2003-07-17,38.387501
2003-07-18,38.387501
2003-07-21,38.387501
2003-07-22,38.387501
2003-07-23,38.387501
2003-07-24,38.387501
2003-07-25,38.387501
2003-07-28,38.387501
2003-07-29,38.387501
2003-07-30,38.387501
2003-07-31,38.387501
2003-08-01,38.387501
2003-08-04,38.387501
2003-08-05,38.387501
2003-08-06,38.387501
2003-08-07,38.387501
2003-08-08,38.387501
2003-08-11,38.387501
2003-08-12,38.387501
2003-08-13,38.387501
2003-08-14,38.387501
2003-08-15,38.387501
2003-08-18,38.387501
2003-08-19,38.387501
2003-08-20,38.387501
2003-08-21,38.387501
2003-08-22,38.387501
2003-08-25,38.387501
2003-08-26,38.387501
2003-08-27,38.387501
2003-08-28,38.387501
2003-08-29,38.387501
2003-09-01,38.387501
2003-09-02,38.387501
2003-09-03,38.387501
2003-09-04,38.387501
2003-09-05,38.387501
2003-09-08,38.387501
2003-09-09,38.387501
2003-09-10,38.387501
2003-09-11,38.387501
2003-09-12,38.387501
2003-09-15,38.387501
2003-09-16,38.387501
2003-09-17,38.387501
2003-09-18,38.387501
2003-09-19,38.387501
2003-09-22,38.387501
2003-09-23,38.387501
2003-09-24,38.387501
2003-09-25,38.387501
